date,power_demand,load_shed,rainfall,mean_apparent_temperature
2016-01-01,572,0,0,19.9
2016-01-02,631,0,0,20.8
2016-01-03,642,0,0,20.1
2016-01-04,646,0,0,19.7
2016-01-05,697,0,0,19.9
2016-01-06,642,0,0,19.8
2016-01-07,660,0,0,20.2
2016-01-08,591,0,0,20.6
2016-01-09,669,0,0,22.5
2016-01-10,692,0,0,22.3
2016-01-11,647,0,0,21.3
2016-01-12,630,0,0,19
2016-01-13,638,0,0,18.7
2016-01-14,697,0,0,18.6
2016-01-15,684,0,0,18.7
2016-01-16,705,0,0,19.8
2016-01-17,879,0,0,19.9
2016-01-18,770,0,0,19.2
2016-01-19,865,0,0,20.4
2016-01-20,831,0,0,21.5
2016-01-21,784,0,6.9,20.3
2016-01-22,651,0,0,18.3
2016-01-23,724,0,0,17.2
2016-01-24,722,0,0,16.7
2016-01-25,855,0,0,16.8
2016-01-26,730,0,0,17
2016-01-27,715,0,0,17.5
2016-01-28,749,0,0,19.4
2016-01-29,754,0,0,20.5
2016-01-30,803,0,0,20.4
2016-01-31,843,0,0,21.5
2016-02-01,689,0,0,22.7
2016-02-02,771,0,0,23
2016-02-03,710,0,0,23.4
2016-02-04,644,0,0,22.9
2016-02-05,587,0,0,20.8
2016-02-06,658,0,0,20.1
2016-02-07,755,0,0,21.3
2016-02-08,725,0,0,21.5
2016-02-09,861,0,0,23.4
2016-02-10,719,0,0,24.9
2016-02-11,688,0,0,24.8
2016-02-12,693,0,1,25.7
2016-02-13,785,0,2.8,26.4
2016-02-14,743,0,0,25.7
2016-02-15,783,0,0,26.8
2016-02-16,791,0,0,27
2016-02-17,790,0,0,27.4
2016-02-18,791,0,0,28.1
2016-02-19,737,0,0,28.9
2016-02-20,772,0,0,28.5
2016-02-21,734,0,0,28.8
2016-02-22,794,0,0,28.2
2016-02-23,803,0,0.1,28.6
2016-02-24,822,0,2.5,28.1
2016-02-25,733,0,0.6,25.1
2016-02-26,746,0,0.1,26.5
2016-02-27,830,0,0.6,26.9
2016-02-28,797,0,0,27.5
2016-02-29,831,0,0,27.5
2016-03-01,951,0,0,27.2
2016-03-02,915,0,0,27.8
2016-03-03,762,0,0,28
2016-03-04,790,0,0,29.7
2016-03-05,840,0,0,30.1
2016-03-06,829,0,0,30.5
2016-03-07,828,0,0,31.5
2016-03-08,884,0,0,31.2
2016-03-09,861,0,0,31.3
2016-03-10,844,0,0,31.6
2016-03-11,824,0,0,32.2
2016-03-12,843,0,0,31.9
2016-03-13,767,40,0,31.9
2016-03-14,848,0,0,29.3
2016-03-15,810,67,0,28.9
2016-03-16,819,0,0,30.4
2016-03-17,794,0,1.5,30.8
2016-03-18,711,0,0,29.9
2016-03-19,881,0,0,30.9
2016-03-20,795,0,0,30.7
2016-03-21,853,0,3.8,30.9
2016-03-22,790,35,1.8,31.5
2016-03-23,821,0,1,31.5
2016-03-24,852,22,0,32.1
2016-03-25,821,0,0,30.9
2016-03-26,787,0,0,32.5
2016-03-27,836,0,0,29.8
2016-03-28,567,0,0,29.9
2016-03-29,823,0,3.3,29.7
2016-03-30,764,0,0.8,30.9
2016-03-31,750,0,3.2,30.8
2016-04-01,602,0,10.6,27.9
2016-04-02,745,0,1.9,29.4
2016-04-03,758,0,0.8,30.9
2016-04-04,741,0,0,31.1
2016-04-05,800,0,0.4,31.1
2016-04-06,804,0,0,31.7
2016-04-07,814,0,0,32.5
2016-04-08,783,0,0,33.8
2016-04-09,802,0,0,33.5
2016-04-10,781,0,0,32.9
2016-04-11,794,0,0,33
2016-04-12,805,44,0,33.5
2016-04-13,770,36,0,33
2016-04-14,711,0,0.2,32.8
2016-04-15,737,0,0.2,32.7
2016-04-16,743,0,0,32.3
2016-04-17,804,0,0.3,32.6
2016-04-18,819,0,0,32.5
2016-04-19,795,30,0,32.9
2016-04-20,839,48,0,32.3
2016-04-21,881,47,0,31.5
2016-04-22,786,0,3.2,31.5
2016-04-23,722,0,3.6,31.9
2016-04-24,830,44,19.9,31.1
2016-04-25,860,85,20.4,31.6
2016-04-26,900,96,1,33.4
2016-04-27,876,74,0,33.8
2016-04-28,930,35,0,34.4
2016-04-29,900,21,0,35
2016-04-30,1000,84,0,35.1
2016-05-01,663,0,0.9,34.2
2016-05-02,514,0,4.7,30.9
2016-05-03,890,46,18.7,31.2
2016-05-04,824,0,10.6,32.3
2016-05-05,939,0,0.2,33.4
2016-05-06,918,0,0.1,34
2016-05-07,906,0,0,34
2016-05-08,969,0,0,33.6
2016-05-09,852,0,0,34.6
2016-05-10,962,29,0.2,35.1
2016-05-11,940,38,0,36.1
2016-05-12,914,0,0.2,36.5
2016-05-13,702,0,0.1,34.5
2016-05-14,884,0,0.4,34.7
2016-05-15,823,0,0,34.3
2016-05-16,950,39,0,34.2
2016-05-17,950,42,1,34.1
2016-05-18,855,20,13.9,33.1
2016-05-19,820,36,49.3,30.5
2016-05-20,772,0,61.9,28.8
2016-05-21,326,0,40.1,27.3
2016-05-22,609,0,6.1,31.3
2016-05-23,818,0,6.7,32.3
2016-05-24,742,0,1.8,33.8
2016-05-25,832,0,4.7,33.8
2016-05-26,918,0,0.5,34.5
2016-05-27,792,0,0.2,34.8
2016-05-28,886,0,1.7,34.1
2016-05-29,986,0,0.5,34
2016-05-30,1010,24,1.7,34.3
2016-05-31,988,0,5.4,34.2
2016-06-01,1008,25,2.1,33.3
2016-06-02,982,20,1,33.1
2016-06-03,840,17,0.6,33.4
2016-06-04,980,31,3.1,33.5
2016-06-05,813,0,7.9,32.7
2016-06-06,859,24,12.1,31.6
2016-06-07,787,0,11.5,31.2
2016-06-08,773,0,15.5,30.5
2016-06-09,731,0,93.6,29
2016-06-10,757,0,32.8,31.6
2016-06-11,726,0,32.6,29.3
2016-06-12,741,0,19.6,30.7
2016-06-13,808,0,10.5,30.7
2016-06-14,811,0,22.9,30.8
2016-06-15,844,0,11.2,30.4
2016-06-16,815,0,16.6,31.4
2016-06-17,898,0,7.5,31
2016-06-18,915,32,0.4,31
2016-06-19,853,0,1.2,31.5
2016-06-20,870,9,0.2,32.6
2016-06-21,908,0,10.8,32.8
2016-06-22,885,32,3.9,33.4
2016-06-23,944,0,3.7,33.6
2016-06-24,818,0,0.8,34.4
2016-06-25,825,0,3.9,34.6
2016-06-26,915,29,8.2,34.1
2016-06-27,942,24,4.1,32.7
2016-06-28,,,1.2,33.5
2016-06-29,875,0,1.1,34
2016-06-30,932,0,1.2,33
2016-07-01,886,0,3.4,31.3
2016-07-02,828,0,27.3,29.9
2016-07-03,809,0,51.9,29.5
2016-07-04,719,0,101.1,29.6
2016-07-05,733,0,119.9,30.3
2016-07-06,749,0,42.2,29.7
2016-07-07,642,0,11.8,32.2
2016-07-08,741,0,13,32.4
2016-07-09,851,0,14.4,30.4
2016-07-10,789,0,23.9,30.2
2016-07-11,930,0,14.2,29.9
2016-07-12,870,0,11.1,30.9
2016-07-13,928,0,11.3,31.2
2016-07-14,927,0,9.3,32
2016-07-15,736,0,37.6,30.7
2016-07-16,906,0,47,29.7
2016-07-17,941,0,31,29.6
2016-07-18,930,0,7.6,31.1
2016-07-19,1012,0,8.6,31.1
2016-07-20,1035,0,7.6,31.6
2016-07-21,919,0,2.9,31
2016-07-22,930,0,1.6,30.7
2016-07-23,994,0,9.4,30.5
2016-07-24,974,0,10.8,29.8
2016-07-25,909,0,15.7,29.1
2016-07-26,920,22,3,31.4
2016-07-27,928,0,0.8,33.3
2016-07-28,947,0,2.6,34
2016-07-29,873,0,14.9,33.6
2016-07-30,990,0,8.8,33.7
2016-07-31,950,37,6.3,33.3
2016-08-01,890,0,11.3,31.5
2016-08-02,906,0,2.5,31.2
2016-08-03,926,0,3.3,31.3
2016-08-04,900,29,2.9,31.1
2016-08-05,934,0,4.5,30.1
2016-08-06,976,0,11.6,29.6
2016-08-07,930,44,15.3,29.9
2016-08-08,955,15,19.8,30.6
2016-08-09,840,26,31,28.4
2016-08-10,779,0,38.3,28.4
2016-08-11,913,0,23.2,30
2016-08-12,910,0,17.4,31.1
2016-08-13,861,24,17,31.9
2016-08-14,956,0,20.1,31.9
2016-08-15,812,0,5.4,32.6
2016-08-16,961,0,29,31.3
2016-08-17,863,0,28.7,29
2016-08-18,987,0,3.7,31.8
2016-08-19,820,0,0.1,33.2
2016-08-20,930,25,6.4,33.6
2016-08-21,,,261.1,29.5
2016-08-22,930,38,0,31.8
2016-08-23,1017,0,0.8,33.3
2016-08-24,1080,50,2,34.9
2016-08-25,945,64,1.3,35
2016-08-26,830,43,2.6,35.1
2016-08-27,940,29,17.3,33.2
2016-08-28,1020,44,4.7,33.5
2016-08-29,940,35,2.5,34.2
2016-08-30,935,27,4.8,32.8
2016-08-31,1037,38,22.9,30.9
2016-09-01,920,36,33.3,30.5
2016-09-02,960,49,19,30.6
