date,power_demand,load_shed,rainfall,mean_apparent_temperature
2020-01-01,2844,0,0,20.6
2020-01-02,2989,0,0,21.7
2020-01-03,,,4.6,20
2020-01-04,2375,0,0,19.2
2020-01-05,2803,0,0.3,18
2020-01-06,2929,0,0,16
2020-01-07,2856,0,0,15.6
2020-01-08,2895,0,0,17.3
2020-01-09,2926,0,3.2,18.6
2020-01-10,2428,0,0,18.3
2020-01-11,2856,0,0,16.4
2020-01-12,,,0,17.1
2020-01-13,2970,0,0,17.5
2020-01-14,2984,0,0,18.4
2020-01-15,2905,0,0,18.5
2020-01-16,3042,0,0,20.2
2020-01-17,2482,0,0,20.7
2020-01-18,2990,0,0,21.1
2020-01-19,3037,0,0,22
2020-01-20,3047,0,0.2,19.7
2020-01-21,2978,0,0,17.1
2020-01-22,3049,0,0,16.7
2020-01-23,2950,0,0,17.4
2020-01-24,2431,0,0,17.4
2020-01-25,2854,0,0,15.4
2020-01-26,2952,0,0,15.9
2020-01-27,3100,0,0,16.5
2020-01-28,3011,0,0,19.1
2020-01-29,3046,0,0,18.8
2020-01-30,2931,0,0,21.5
2020-01-31,2438,0,0.3,20.1
2020-02-01,2652,0,0,17.7
2020-02-02,2899,0,0,16
2020-02-03,2989,0,0,15.8
2020-02-04,3015,0,0,16.2
2020-02-05,3018,0,0,18.5
2020-02-06,3027,0,0,18.5
2020-02-07,2396,0,0,18.6
2020-02-08,2904,0,0,18.9
2020-02-09,3043,0,0,20
2020-02-10,2920,0,0,17.9
2020-02-11,3014,0,0,18.1
2020-02-12,3057,0,0,18.4
2020-02-13,2932,0,0,18
2020-02-14,2475,0,0,20.6
2020-02-15,3082,0,0,22.6
2020-02-16,3116,0,0,22
2020-02-17,3165,0,0,21.6
2020-02-18,3125,0,0,22.6
2020-02-19,3151,0,0,23.2
2020-02-20,3207,0,0,23.8
2020-02-21,2346,0,0,23.2
2020-02-22,3192,0,0,24
2020-02-23,3353,0,0,24.6
2020-02-24,3299,0,0.3,24.8
2020-02-25,3299,0,7.2,23.6
2020-02-26,3180,0,9.3,21.6
2020-02-27,3117,0,0.1,22.4
2020-02-28,2561,0,0,22.1
2020-02-29,3264,0,0,22.7
2020-03-01,3367,0,0,23.8
2020-03-02,3437,0,0,25
2020-03-03,3189,0,0.2,26.3
2020-03-04,3490,0,13.1,25.7
2020-03-05,3487,0,3,25.7
2020-03-06,2729,0,5.1,25.9
2020-03-07,3200,0,0.9,24.3
2020-03-08,3363,0,1.1,26.4
2020-03-09,3375,0,0,24.2
2020-03-10,3322,0,0,22.8
2020-03-11,3477,0,0,25.2
2020-03-12,3615,0,0,27.8
2020-03-13,3202,0,0,29.1
2020-03-14,3335,0,0,27.3
2020-03-15,3602,0,0,25.9
2020-03-16,3687,0,0,27.1
2020-03-17,3181,0,0,26.6
2020-03-18,3678,0,0,26.7
2020-03-19,3702,0,0,27
2020-03-20,3061,0,2.1,28.3
2020-03-21,3587,0,0.4,27.5
2020-03-22,3414,0,0.6,26.4
2020-03-23,3362,0,0,26.1
2020-03-24,3317,0,0,27.4
2020-03-25,2991,0,0,28.2
2020-03-26,2686,0,0,30.4
2020-03-27,2693,0,0,30.4
2020-03-28,2776,0,0,30.9
2020-03-29,,,0,29.5
2020-03-30,2645,0,0,28.1
2020-03-31,2625,0,0,29.4
2020-04-01,2755,0,0,29.3
2020-04-02,2214,0,1.1,32.6
2020-04-03,2459,0,0.3,33.4
2020-04-04,2762,0,0,32.4
2020-04-05,2731,0,1.2,32.9
2020-04-06,2681,0,0,32.2
2020-04-07,2717,0,0,31.2
2020-04-08,2636,0,0,32.5
2020-04-09,2617,0,0.9,32.7
2020-04-10,2725,0,0,31.8
2020-04-11,2335,0,0.3,32.6
2020-04-12,2295,0,0.2,31.3
2020-04-13,2632,0,4.5,32.1
2020-04-14,2777,0,1.9,34
2020-04-15,2327,0,8.9,33
2020-04-16,2546,0,5.2,31.6
2020-04-17,2412,0,18.9,31.9
2020-04-18,2473,0,41.7,30.9
2020-04-19,2600,0,1.1,32.7
2020-04-20,2447,0,25.2,32.1
2020-04-21,2354,0,6.7,30.5
2020-04-22,2474,0,20.3,29.8
2020-04-23,2272,0,17.5,29.6
2020-04-24,2124,0,59,27.1
2020-04-25,2272,0,13.2,27.4
2020-04-26,2079,0,2.4,27.9
2020-04-27,2542,0,20,28.8
2020-04-28,2191,0,14.3,29
2020-04-29,2529,0,5.7,29.2
2020-04-30,2448,0,13.7,29.7
2020-05-01,2354,0,9,30.1
