date,power_demand,load_shed,rainfall,mean_temperature,relativehumidity_2m,windspeed_100m
2016-01-01,1836,0,0,19.3,0,0
2016-01-02,2249,0,0,19.4,75.66666666666667,8.108333333333334
2016-01-03,2316,0,0,19.5,77,7.687499999999999
2016-01-04,2331,0,0,18.7,74.875,9.220833333333333
2016-01-05,2279,0,0,18.8,75.875,9.308333333333332
2016-01-06,2338,0,0,18.8,75.16666666666667,8.295833333333333
2016-01-07,2353,0,0,19,72.70833333333333,9.7875
2016-01-08,2023,0,0.1,20,72.83333333333333,10.754166666666668
2016-01-09,2289,0,0.3,20.7,74.20833333333333,7.045833333333333
2016-01-10,2153,0,0,19.5,77.66666666666667,13.945833333333333
2016-01-11,2322,0,0,18.5,75.95833333333333,7.45
2016-01-12,2321,0,0,17.8,68.04166666666667,12.074999999999998
2016-01-13,2298,0,0,18,68.58333333333333,9.262499999999998
2016-01-14,2347,0,0,18.6,71.5,6.658333333333334
2016-01-15,1934,0,0,18.9,70.625,6.745833333333333
2016-01-16,684,0,0,19.2,70,6.283333333333334
2016-01-17,2240,0,0,18.3,73.45833333333333,12.295833333333333
2016-01-18,2364,0,0,18.1,69.83333333333333,11.891666666666664
2016-01-19,2362,0,0,19.3,71.79166666666667,10.258333333333335
2016-01-20,2005,0,4,18.8,71.625,12.254166666666665
2016-01-21,2289,0,0,18.2,79.79166666666667,12.591666666666667
2016-01-22,1919,0,0,16.7,80.16666666666667,13.083333333333334
2016-01-23,2229,0,0,16.2,76.625,16.712500000000002
2016-01-24,2248,0,0,15.6,74.45833333333333,16.945833333333333
2016-01-25,2294,0,0,15.8,72.29166666666667,15.454166666666671
2016-01-26,2177,0,0,16.4,73.875,13.670833333333336
2016-01-27,2236,0,0,17.7,70.29166666666667,9.908333333333333
2016-01-28,2294,0,0,18.6,64.41666666666667,5.595833333333332
2016-01-29,1961,0,0,18.3,74.08333333333333,7.774999999999999
2016-01-30,2261,0,0,19,70.16666666666667,11.341666666666667
2016-01-31,2236,0,0,20.1,69.91666666666667,9.20833333333333
2016-02-01,2322,0,0,21.4,79,8.445833333333335
2016-02-02,2335,0,0.2,20.9,75.79166666666667,12.387499999999998
2016-02-03,2374,0,0,20.9,78.5,6.737500000000002
2016-02-04,2371,0,0,20.4,73.25,8.720833333333335
2016-02-05,1931,0,0,19.1,62.041666666666664,14.679166666666665
2016-02-06,2310,0,0,19,60.083333333333336,14.029166666666669
2016-02-07,2369,0,0,20.3,68.16666666666667,10.541666666666666
2016-02-08,2415,0,0,21,70.04166666666667,7.474999999999998
2016-02-09,2423,0,5,21.9,67.70833333333333,10.137500000000001
2016-02-10,2349,0,0,21.4,78.20833333333333,9.649999999999999
2016-02-11,2439,0,0.1,21.9,78.45833333333333,7.9375
2016-02-12,2116,0,6.9,21.9,78.79166666666667,12.525000000000004
2016-02-13,2425,0,0,22.4,89.91666666666667,11.579166666666666
2016-02-14,2480,0,0.3,23,76.125,5.183333333333333
2016-02-15,2622,0,0.8,24,81.75,7.975000000000001
2016-02-16,2650,0,0,24.5,81,7.4750000000000005
